Table S1. Processed bacterial abundance data used for statistical analysis and comparisons between groups (log10-transformed),,,,,,,,,,,,,,,,,,,,
#NAME,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
ASV1,4.386206396,4.325240967,0.893471,0.004321374,1.578860366,3.412840023,3.059636455,0.004321374,4.383287471,4.180363183,3.413717366,3.413717366,0.657650055,0.004321374,0.004321374,1.484764778,4.400933796,4.34556947,4.399220192,4.373544977
ASV2,4.344567286,4.341426969,0.934326214,0.029444551,1.52401555,3.412830498,3.064998213,0.004321374,4.315128955,4.30529468,3.413707841,3.413707841,0.677850587,0.004321374,0.004321374,1.514103274,4.314533026,4.211240134,4.418402752,4.366863679
ASV3,4.298508419,4.160017238,0.90404428,0.03067534,1.593520275,3.412830498,3.043376577,0.004321374,4.375947417,4.146941744,3.413707841,3.413707841,0.680398259,0.004321374,0.004321374,1.492784311,4.325322985,4.183213209,4.370257702,4.316974104
ASV4,4.260445698,4.090386588,0.957289649,0.072620823,1.64582958,3.412830498,3.041982233,0.004321374,4.273454463,4.027765212,3.413707841,3.413707841,0.739354593,0.004321374,0.004321374,1.531113029,4.283399198,4.271934457,4.335996033,4.22940884
ASV5,4.225961763,4.167985616,1.025487956,0.111865191,1.661553138,3.691751199,2.119587318,0.004321374,4.134769829,3.992053186,3.413756574,3.413756574,0.004321374,0.004321374,0.004321374,0.973794262,4.268474318,4.177384054,4.312696071,4.148380894
ASV6,4.215059062,4.126595911,0.962458622,0.111441668,1.656134967,3.412830498,3.045291402,0.004321374,4.279658444,4.004286402,3.413707841,3.413707841,0.712584839,0.004321374,0.004321374,1.535475896,4.195927949,4.140663819,4.246322374,4.297669909
ASV7,4.164369664,4.143627989,0.967101304,0.121396052,1.617886228,3.412830498,3.047868416,0.004321374,4.263979086,4.09142868,3.413707841,3.413707841,0.788997779,0.004321374,0.004321374,1.547552969,4.227083997,4.16548564,4.309263065,4.101387894
ASV8,4.168485947,4.205771694,0.991398387,0.133099533,1.710967081,3.412830498,3.056720536,0.004321374,4.21680275,3.879362142,3.413707841,3.413707841,0.752412856,0.004321374,0.004321374,1.565477565,4.210051698,4.107497974,4.32283521,4.234004319
ASV9,4.106972437,4.220011253,0.991075765,0.151852755,1.697347199,3.412830498,3.058155758,0.004321374,4.21680275,3.910392383,3.413707841,3.413707841,0.775962178,0.004321374,0.004321374,1.573273502,4.213512015,4.140663819,4.277080037,4.170098624
ASV10,4.203875593,4.205771694,1.009926573,0.119781113,1.768164657,3.412830498,3.059187736,0.004321374,4.171838509,3.749048642,3.413707841,3.413707841,0.824849637,0.004321374,0.004321374,1.576990104,4.24347345,4.048525095,4.298798156,4.069205882
ASV11,4.067467161,4.167985616,1.034619079,0.18549152,1.704035524,3.412830498,3.057650296,0.004321374,4.130448777,3.895154342,3.413707841,3.413707841,0.754374381,0.004321374,0.004321374,1.606659205,4.192324058,4.079011758,4.295253056,4.289701389
ASV12,4.102226379,4.090386588,1.006775875,0.168171852,1.636052864,3.412830498,3.046498719,0.004321374,4.19114238,4.050039549,3.413707841,3.413707841,0.776893854,0.004321374,0.004321374,1.578876704,4.177601772,4.093488382,4.280775986,4.185702651
ASV13,4.087668841,3.932794319,1.010828237,0.16509475,1.725635498,3.412830498,3.031458367,0.004321374,4.175768536,3.84594302,3.413707841,3.413707841,0.79261162,0.004321374,0.004321374,1.581198807,4.213512015,4.183213209,4.295253056,4.153912988
ASV14,4.067467161,4.2405317,1.027565903,0.207794585,1.650912641,3.412830498,3.063128467,0.004321374,4.163870126,4.016184451,3.413707841,3.413707841,0.806172842,0.004321374,0.004321374,1.597165705,4.095421087,4.032439756,4.288074842,4.125519696
ASV15,4.040817343,4.183496737,1.02779304,0.19538654,1.636052864,3.412830498,3.058279126,0.004321374,4.147480867,4.050039549,3.413707841,3.413707841,0.817063184,0.004321374,0.004321374,1.604356313,4.177601772,4.114336864,4.21321922,4.107547713
ASV16,4.077685453,4.167985616,1.065958119,0.212555152,1.710967081,3.412830498,3.06042706,0.004321374,4.079842798,3.879362142,3.413707841,3.413707841,0.811625573,0.004321374,0.004321374,1.623160117,4.117469485,4.093488382,4.200124744,4.170098624
ASV17,4.106972437,3.946156729,1.086687178,0.199043271,1.718160232,3.412830498,3.040908643,0.004321374,4.028084503,3.862973954,3.413707841,3.413707841,0.813802313,0.004321374,0.004321374,1.631019598,4.162362846,4.086310387,4.200124744,4.200765422
ASV18,4.134408586,4.050881439,1.060341324,0.170418971,1.741527462,3.412830498,3.048893229,0.004321374,4.074935878,3.809736285,3.413707841,3.413707841,0.838223282,0.004321374,0.004321374,1.614520004,4.203047236,3.920959657,4.167942189,4.101387894
ASV19,4.077685453,4.080842061,1.060536166,0.202143978,1.64087855,3.412830498,3.051377517,0.004321374,4.084694895,4.039045167,3.413707841,3.413707841,0.822521892,0.004321374,0.004321374,1.61880401,4.150572152,4.007136333,4.111994881,4.137100704
ASV20,4.156018173,4.050881439,1.064149162,0.200821716,1.697347199,3.412830498,3.047834038,0.004321374,4.094239429,3.910392383,3.413707841,3.413707841,0.837835507,0.004321374,0.004321374,1.605173096,4.06254263,4.024168013,4.153384485,4.088799788
ASV21,4.120907132,3.890047635,1.078591635,0.197805502,1.725635498,3.412830498,3.034076425,0.004321374,4.049533522,3.84594302,3.413707841,3.413707841,0.842567974,0.004321374,0.004321374,1.620129195,4.138452397,3.83966555,4.122717919,4.107547713
ASV22,3.942540942,4.061099697,1.047176709,0.264583013,1.733415916,3.412830498,3.046877132,0.004321374,4.130448777,3.828216859,3.413707841,3.413707841,0.828406851,0.004321374,0.004321374,1.618351493,4.057635727,3.980266941,4.14340098,4.088799788
ASV23,4.072606359,3.874809687,1.100901659,0.239470218,1.64582958,3.412830498,3.034328483,0.004321374,4.016949204,4.027765212,3.413707841,3.413707841,0.880679959,0.004321374,0.004321374,1.636857237,4.067394711,4.048525095,4.08972027,4.027148341
ASV24,4.01242467,4.071083052,1.091584511,0.251828106,1.690885614,3.412830498,3.0532004,0.004321374,4.033546884,3.925113842,3.413707841,3.413707841,0.865860947,0.004321374,0.004321374,1.644230422,4.081633938,3.864485609,4.095396939,4.055634262
ASV25,3.899080519,3.959120245,1.108310983,0.279639573,1.718160232,3.412830498,3.044426008,0.004321374,3.987793905,3.862973954,3.413707841,3.413707841,0.870330372,0.004321374,0.004321374,1.670405955,4.138452397,3.931423838,4.148421419,4.075835894
ASV26,3.98204513,3.995839145,1.111076714,0.300131393,1.733415916,3.412830498,3.046527192,0.004321374,4.016949204,3.828216859,3.413707841,3.413707841,0.855625158,0.004321374,0.004321374,1.651385255,3.958260972,3.920959657,4.138321826,4.095139448
ASV27,4.000526631,3.874809687,1.127601378,0.282491117,1.74999958,3.412830498,3.036942324,0.004321374,3.969312461,3.79043422,3.413707841,3.413707841,0.916401274,0.004321374,0.004321374,3.646489061,4.026969718,3.920959657,4.041419787,3.963872969
ASV28,3.906632702,4.018699757,1.128653205,0.299019192,1.690885614,3.412830498,3.052146034,0.004321374,3.956539578,3.925113842,3.413707841,3.413707841,0.922896064,0.004321374,0.004321374,1.682264782,4.081633938,3.998363289,4.078139361,3.95527375
ASV29,3.975705624,4.090386588,1.117684787,0.299856336,1.799138249,3.412830498,3.057003658,0.004321374,3.999691909,3.678481362,3.413707841,3.413707841,0.879839039,0.004321374,0.004321374,1.661070477,3.976483808,3.951624889,4.034986273,4.041624813
