Table S8. Normalized and imputed Genus abundance quantification table for all samples (log10-transformed),,,,,,,,,,,,,,,,,,,,,,
Genus,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE,TOTAL,PERCENTAGE
Abditibacterium,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.269507437,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.351613543,0.017040253
Abiotrophia,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,11.13386793,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,3.42159494,0.02160687,0.02160687,3.43159913,0.02160687,0.02160687,0.02160687,18.35437879,0.093317221
Acaricomes,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.395976367,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.478082473,0.012599052
Achromobacter,3.73304417,0.02592824,0.02592824,0.02592824,0.02592824,0.02592824,3.41904452,0.02592824,0.02592824,0.02592824,12.6336665,0.02592824,0.02592824,3.61774009,0.02592824,0.02592824,0.02592824,0.02592824,0.02592824,0.02592824,23.81834712,0.121097096
Acidibacter,3.435034,3.6711026,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,3.5024394,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,3.1677787,0.0172855,0.0172855,0.0172855,14.0529227,0.071447784
Acidovorax,0.02592824,0.02592824,0.02592824,3.55093417,0.02592824,3.47366345,0.02592824,3.15650148,0.02592824,0.02592824,0.02592824,3.66549844,0.02592824,3.51303505,0.02592824,3.4409202,0.02592824,0.02592824,0.02592824,0.02592824,21.16354815,0.107599583
Acinetobacter,51.63454,47.68678,57.2317,64.07874,123.50035,91.45413,399.62576,202.80652,57.87706,82.10028,82.97774,113.88705,68.05106,93.05911,223.4013,223.6202,58.02082,62.67728,70.83573,67.60059,2242.12674,11.39940715
Actinobacillus,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.219129677,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,4.080157268,7.454856409,0.037901936
Actinomyces,0.04321374,0.04321374,3.76251345,0.04321374,0.04321374,7.49896473,0.04321374,6.61408693,0.04321374,0.04321374,0.04321374,0.04321374,3.61788417,0.04321374,0.04321374,3.40023761,0.04321374,9.47426353,0.04321374,0.04321374,34.97294278,0.177809223
Actinomycetospora,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.086633889,0.004321374,0.004321374,3.168739995,0.016110489
