Table S10. Processed feature quantification table of metabolomics data (log2-transformed),,,,,,,,,,,,,,,,,,,,,,,
feature,QC1,QC2,QC3,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
feature,QC,QC,QC,NEA,NEH,EA,EH,EA,EH,EA,EH,EA,EH,EA,EH,NEA,NEH,NEA,NEH,NEA,NEH,NEA,NEH
589.443214975205_28.257277,10.43473271,3.650995564,5.497415961,1.17175901,0.09297184,1.460607374,2.619332225,6.749903893,4.285623379,0.272326747,1.302145545,14.09356366,6.172843132,3.105066047,1.429781983,3.22907662,4.067486842,5.352100095,8.431273251,0.741000944,2.173489059,6.320195399,3.015902845
363.312922067821_24.947313,0.278795205,2.87235551,1.307003382,3.859359577,12.04541908,0.081669286,0.582455612,3.654400372,13.07763955,0.216531547,13.38523767,3.705212927,5.47947709,4.32353436,2.713627628,3.403522626,9.914637276,3.454013772,0.04239514,4.335155659,0.284995004,4.321900471,4.49586859
429.374709284954_28.523762,10.05618937,11.12616986,11.28698486,5.773068963,11.55482488,7.219648619,7.244264155,7.13994943,6.201815682,5.13655184,5.197455669,5.46282601,6.708080064,6.710674375,10.13900203,7.63266858,11.1957328,9.736646543,11.70004551,8.383289945,10.98569975,5.719870321,11.59050655
595.272206337237_15.234044,1.267990074,4.188429892,2.875554999,12.90947701,2.443178261,5.609049316,0.960959094,9.059496794,3.552130215,5.845080419,4.152831588,8.343377846,1.907571352,7.896136672,3.290163983,7.877786208,2.318377445,5.004118113,2.99277561,9.565157671,2.834500923,12.93395501,3.472174416
532.894282334682_26.901567,5.513561379,3.865050457,5.58860829,1.423626722,1.171056498,0.081669286,11.52204172,2.167474126,3.02067794,2.123944498,0.566663453,1.40801825,0.184682335,0.907800372,1.306414728,0.343198444,0.803925884,2.158567095,0.972445114,0.918666177,0.510596583,0.092210581,0.439027797
584.282820437727_15.155334,6.867411535,11.61712813,5.242237547,8.599255131,6.742838768,8.40769185,3.218937672,12.81533898,4.352380208,12.82119593,7.815019906,10.3030079,4.947994385,10.89462921,6.061272962,12.76341367,4.332943327,9.004444051,7.692469326,12.9961253,9.461953858,14.96735764,6.997254399
399.243671576374_25.229448,10.11315784,9.243808743,10.92378292,2.393679132,11.89529379,2.365883343,4.094063375,5.09090079,9.850421931,10.28650475,5.368874663,7.342145148,6.988277992,3.064766535,11.99810454,3.528383982,12.64536921,3.222244492,4.789429768,8.553687376,5.522666855,2.323440146,6.125029374
471.200986407368_16.56814,4.047838845,2.579123784,1.676189209,6.590485369,3.235341575,1.935047855,2.04346085,0.847737797,0.167922813,5.631978065,1.969936588,10.39147286,2.483901457,2.222438641,3.42621761,1.288472576,0.694001618,5.158923963,1.141460512,5.304838472,5.475422001,4.007772734,4.529457297
568.935640055199_28.040857,3.745365127,3.932024568,3.851138282,2.899672221,1.746286447,2.403920971,0.228869825,4.883338749,0.945114647,2.614919544,2.405375573,10.99231169,2.552096446,1.419164024,2.069411511,0.657530812,1.58515638,1.5572599,7.291456122,2.685227229,2.356105823,2.582251075,0.187354501
531.401876103766_27.834177,11.24252243,11.71395379,11.08062211,0.132075393,0.769019933,2.795931559,3.629388538,5.071013954,6.629515595,2.690078123,2.258000942,14.96735764,8.218525582,2.961685317,1.719405607,4.285879156,5.960515313,5.262002103,9.758278673,2.183710595,2.119762307,5.994802541,3.064152169
